Basvuru Tarihi	Baþvuru Numarasý	Buluþ Baþlýðý	Buluþ Sahibi	Proje Kodu	Proje Ýsmi	Ýlgili olduðu Ürün&Servisler	Özet
2013	2013/04418	ÞÝRKET MASA TELEFONLARININ SANAL GSM NUMARA ÝLE ARANMASINI SAÐLAYAN SÝSTEM	SÝNAN ÞENGÜDER				FCT (Fixed Cellular Terminal)  cihazlarý ile GSM aða baðlý olan PBX (Private Branch Exchange) ten hizmet alan þirket masa telefonlarý direk olarak aranamamaktadýr. Yöntem,  þirket masa telefonlarýnýn sanal bir GSM numarasý ile direk aranmasýný saðlayan yöntemdir.
2013	2013/04421	ÞÝRKET MASA TELEFONLARININ SANAL GSM NUMARA ÝLE ARAMA YAPMASINI SAÐLAYAN SÝSTEM	SÝNAN ÞENGÜDER				Þirket masa telefonundan yapýlan aramalarda, aranan tarafa sanal GSM numarasý gönderilmesini saðlayan bir yöntemdir.  
2013	2013/04746	HÝSTOGRAM ANALÝZÝ ÝLE KRONÝK KALÝTE PROBLEMLERÝNÝN BELÝRLENMESÝ	MEHMET ONUR SARKAN-ZEHRA ÇATALTEPE-AYSEL AKÇAKOCA-SEVCEN SÖKMEN				Haberleþme operatör firmalarý yüksek kaliteli hizmet vermek için alt yapýlarýndan (santral, baz istasyonlarý, sunucular, haberleþme düðümleri vb.) gelen hata uyarý mesajlarýný (alarm) tek bir sisteme aktarýp, alarmlarý sürekli gözlemlemektedirler. Gözlem gruplarý bu alarmlarý inceleyerek alýnmasý gereken tedbirlere karar vermektedirler. Buluþumuz kapsamýnda, GSM þebekelerinde gözlemlenen kronik kalite problemlerini, alarm tarihçesi üzerinde uygulanacak istatistiksel makine öðrenmesi yöntemleri ile saptayan yeni bir sistem sunulmaktadýr. GSM þebekelerinde gözlemlenen alarmlar incelenerek alarm kaynaðý, alarm tipi ikilileri için zaman ekseninde gözlem miktarlarý histogramlarý üretilmektedir. Üretilen histogramlarýn analizi sonucunda kronik kalite problemi yaþanan GSM ekipmanlarý ve yaþanan problemin türleri otomatik olarak belirlenmektedir.
2013	2013/07640	LOKASYON BÝLGÝSÝNDEN ÞEHÝR ÝÇÝ YOÐUNLUK BULUNARAK ULAÞIM ARAÇLARININ SEFER DÜZENLEMESÝ	AHMET FUAT SUNGUR				Bu buluþ mobil þebekesi abonelerinin bulunduklarý lokasyon yoðunluðundan yola çýkarak þehir içi ulaþým araçlarýnýn sefer zamanlarýný ve güzergah iyileþtirmesini saðlayacak sistemi içermektedir. Þu andaki sistemde belirli merkez kabul edilen yerlere daha fazla; merkez olarak kabul görmeyen yerlere ise daha az sefer düzenlenmektedir. Yapýlacak sistem ile insanlarýn hangi saatler arasýnda nerelere gittiði hesaplanacak ve ulaþým araçlarýnýn saat ve mekân bilgisi buna göre düzenlenerek daha refah bir hizmet sunulacaktýr.
2013	2013/08724	TC KÝMLÝK NO ÝLE ARAMA BAÞLATMA	TÜRKER ÇELÝK-KORAY VATANSERVER				Telefon numarasýnýn bilinmediði durumlarda TC Kimlik Numarasý kullanýlarak arama baþlatma özelliðidir.
2013	2013/08962	VERÝTABANI VERÝ TOPLAMA SERVÝSÝ	ÖZGÜR IÞILAK-ONUR ÜLKÜ				Bu servis kural veya akýþ motorlarýnýn gerçek zamanlý olarak veritabanlarýndan kolay ve hýzlý bir þekilde veri toplamasýný saðlayan bir servistir. Herhangi bir veritabanýnda yer alan bir þema altýndaki bir tablonun belirli bir kolonu üzerindeki veri/bilgi üzerinden gerçek zamanlý olarak kural iþletmek bu servis sayesinde mümkün olabilmektedir.
2013	2013/09145	SOSYAL MEDYA TABANLI ALTERNATÝF ÇAÐRI MERKEZÝ KANALI	YAKUP TARIK KRANDA-MAHMUT SEZENOL-MEHMET ONUR SARKAN				Bu patent baþvurusu kapsamýnda önerilen sistem ile özel þirketlerin çaðrý merkezlerine, müþterileri ile sosyal medya tabanlý yeni bir iletiþim kanalý kazandýrýlmasý hedeflenmektedir. Çaðrý merkezlerinin iletiþim kurulmasýný istedikleri konularda resmi sosyal medya kullanýcý hesaplarý tanýmlanacaktýr. Müþteriler çaðrý merkezlerini telefon ile arayabilme imkanlarýnýn yanýnda isterlerse bu sosyal medya kullanýcý hesaplarýna özel mesaj yollayarak çaðrý merkezi çalýþanlarý ile iletiþime geçebileceklerdir. Ýletiþim kanallarý haricinde kendi çevresine gönderdiði sosyal medya metinleri de taranarak müþteri memnuniyeti amaçlý bu sistem vasýtasý ile birebir alternatif bir iletiþim kanalý kurulmuþ olacaktýr.
2013	2013/09747	SERVÝS TABANLI GENÝÞLETÝLMÝÞ CORBA ARAYÜZÜ	YAKUP TARIK KRANDA, MAHMUT SEZENOL-MEHMET ONUR SARKAN				Buluþumuz kapsamýnda, CORBA (Common Object Request Broker Architecture) mimarisinde entegrasyon arayüzlerine sahip eski nesil sistemler ile kolay entegre olunmasýný saðlayan yeni ve geniþletilmiþ yeteneklere sahip bir çözüm sistemi önerilmektedir. 
2013	2013/09750	CORBA DESTEKLÝ AKSAKLIK YÖNETÝM SÝSTEMÝ	MEHMET ONUR SARKAN-MAHMUT SEZENOL-SEVCEN SÖKMEN-YAKUP TARIK KRANDA				Bu buluþ, GSM(Global System for Mobile Communications - Mobil Ýletiþim için Küresel Sistem) þebekelerinde kaliteli ve kesintisiz hizmetin verilebilmesi için önemli þebeke problemlerinin saptanabilmesinde þebeke elemanlarýndan CORBA (Common Object Request Broker Architecture) protokolü üzerinden AYS(Aksaklýk Yönetim Sistemi)? ye gönderilen alarmlarýn senkron ya da asenkron olarak yakalanmasýný, kullanýcý dostu arayüzler ile otomatik ve hýzlý bir þekilde, hiç bir yazýlým geliþtirme yapmadan saðlayan yeni bir aksaklýk yönetim sistemi ile ilgilidir.
2013	2013/09752	FÝNANS KURULUÞLARI VE GSM OPERATÖRÜ MÜÞTERÝ BLACKLÝST, FATURA VE KREDÝ NOTU DATALARININ KARÞILIKLI PAYLAÞIMLA FRAUD KONTROLLERÝNDE KULLANILMASI 	HAKAN KAYIÞ				"
Kredi ve Kredi kartý konusunda Banka veya finans þirketlerinde fraud kontrol amaçlý veri çok kýymetli durumda. Finans kuruluþlarý (bankalar, sigorta þirketleri, katýlým bankalarý, faktöring, leasing þirketleri ) bad debt.lerini düþürme anlamýnda katký saðlayacak yöntemlere yoðun önem vermektedir. Bu anlamda TCELL fatura datasý , bir API ile dýþ firmalara belli bir tckno veya msisdn ile sorgulanabilecek APIlerle açýlarak , gerektiðinde belli bir ücret karþýlýðýnda, regülatif sebeplerden dolayý müþteri onay mekanizmasý ile sunulabilir.

Tersi iþlem de bankalarýn kredi deðerlendirme notunun tutulduðu KKB bünyesindeki bankalararasý kredi sorgulama datasýnýn TCELL iþlemlerinde Fraud amacýyla kullanýlmasý iþlemidir. "
2013	2013/10006	ARAÇ ÝÇÝ BÝLGÝ SUNMA VE ACÝL YARDIM CÝHAZI, SERVÝSÝ	MERT OZAN DURUKAN				Buluþ araç içinde araba kullanýrken sürücünün ya da yolcularýn aracýn seyrine ara vermeden ellerini ve telefonlarýný kullanmadan istedikleri bilgiye konum tabanlý olarak ulaþma ihtiyacýna bir cevap olarak sunulmuþtur. Cihazýn bir diðer fonksiyonu da üzerindeki hasar sensoru sayesinde herhangi bir çarpýþmayý algýlar ve çaðrý merkezine bildirir. Çaðrý merkezi çalýþaný aracý cihaz üzerindeki mikrofon ve hoparlör sayesinde en geç 1 dk içinde arar ve bir yardýma ihtiyacý olup olmadýðýný sorar. Cevap alamadýðý yada aldýðý cevap doðrultusunda ilgili acil durum mercilerine haber verir.
2013	2013/10040	ETKÝLEÞÝMLÝ MOBÝL MEDYA UYGULAMALARINDA KARMAÞIK OLAY ANALÝZ SÝSTEMÝ	MUSTAFA KIRAÇ 				Buluþ mobil cihazlar üzerinde televizyon ve canlý yayýn izlemeyi saðlayan uygulamalara eklenecek bir yapý sayesinde, içerik ve yayýn saðlayýcýlarýnýn uygulama saðlayýcýsý ile anlaþmasýna paralel olarak, izleyicilerin kanal deðiþtirmesini engellemek, izleyici oylarýný almak, izleyiciye reklam göstermek gibi aktif etkileþimi hedefler. Temel olarak, yayýn izleme uygulamasý kullanýcýlarýn yayýn baþlatma, yayýn deðiþtirme, ileri-geri sarma gibi yetenekleri kullanabilmek için yayýn sunucusuna istem göndermekte ve istemler kayýt altýna alýnmaktadýr. Yayýn akýþý takibi ile ilgili bu davranýþlar eþ zamanlý karmaþýk olay iþleme sistemlerine yönlendirilerek belli olaylarý canlý olarak algýlamak, ve ilgili aksiyonu almak için olanak saðlayacaktýr. 
2013	2013/10102	AKILLI EÐÝTÝMDE BÝR SES KAYIT SÝSTEMÝ	FATÝH KAYGISIZ-HÝLMÝ TEKÝN-KAMURAN YILMAZ-CANER KURTUL				"Önerilen sistem, bir eðitim sunumu sýrasýnda eðitmenin konuþmalarýný ilgili sunum sayfalarý arasýndaki geçiþler ile senkronize bir þekilde belirli süreler içerisinde kaydedilip, ilgili ses kayýtlarýnýn yazýlý doküman haline getirilip dijital ortamda arþivlenmesini saðlamaktadýr.
Ayrýca, eðitmenin sunum veya ders sýrasýnda sözlü olarak anlattýðý bilgilerin, yazýlý doküman haline getirilmesi sayesinde, yazý ile arama yapýlarak elde edilmek istenilen eðitim içeriklerinin ilgili bölümlerine(sunumun ilgili sayfalarý, ilgili ses dosyalarýna) hýzlý bir þekilde ulaþabilmesini amaçlamaktadýr.
"
2013	2013/10359	TANIMLI ALANLARA GÝRÝLDÝÐÝNDE AKILLI TELEFONLARDAKÝ UYGULAMALARI AYAÐA KALDIRAN SÝSTEM VE YÖNTEM 	YASÝN KAFADAR-LEVENT ERDOÐAN-ALPER AYDENÝZ				"Akýllý telefonlar üzerlerinde deðiþik iþlevleri yerine getiren uygulamalar bulundurmaktadýrlar. Bu uygulamalardan bazýlarý belirli konumlarda tanýmlanmýþ iþlemleri yapma ihtiyacýnda olabilirler. Bunun için uygulamalar sürekli olaak arka planda çalýþarak akýllý telefonun konumlandýrma yeteneklerini kullanarak ilgili alanda bulunulup bulunulmadýðýný kontrol edebilirler. Ancak sözkonusu telefonlar sýnýrlý güç kaynaklarý ile sürekli çalýþan bu þekildeki uygulamalarý çalýþtýrdýklarýnda, pilleri çok kýsa sürede bitebilmektedirler. 
Bu buluþ ile belirli konumlarda çalýþarak özel bir iþlem yapma ihtiyacýnda bulunan uygulamalarýn bu ihtiyaçlarýnýn akýllý telefonlar üzerinde herhangi bir kaynak harcamadan sadece ilgili alanlarda çalýþabilmesini saðlayacak bir method ve yöntem önerilmektedir.
"
2013	2013/11261	BAYÝ SATIÞ SÝSTEMÝ	N. ERDEM GÜNDOÐDU				Turkcell?in dijital ortamda satýlan Ses, Sms, Data ve TL paketleri Bayi Satýþ Sistemi aracýlýðý ile satýlabilmektedir. Sistemin terminalleri olarak Turkcell POS makineleri kullanýlmaktadýr. Ancak ödemeler sadece nakit yapýlmaktadýr. Terminal olarak istenirse baþka cihazlar (telefon, web sayfasý vb.) kullanýlabilir. Müþterilerin terminale sadece GSM Numarasý girip, istedikleri ürünü seçmeleri ve iþlemi yine terminalden(POS?tan) onaylamalarý yeterlidir. Terminal, talebi BSS?e gönderir ve BSS yüklemeyi doðrudan abonenin GSM hesabýna yapar. BSS, Turkcell ile baðlý bayileri arasýndaki nakit akýþýný düzenler ve paranýn, satýþý yapan bayiden, üst bayisine, oradan da distribütöre ve en son Turkcell?e akýþýný saðlar. Bunu yaparken bayilerin limitleri kullanýlýr. Her satýþ yapýldýðýnda, paketin fiyatý ve bayilerin kar marjlarýna göre hesap yapýlarak bayinin ve üst bayilerinin limiti düþürülür. Bayinin ya da üst bayinin limiti yeterli deðilse, satýþ gerçekleþmez.
2013	2013/12184	M2M ÝLE TAKSÝ GÜVENLÝK SÝSTEMÝ	ASLI KARATAY				Bu buluþ ile büyükþehirlerde taksi sürücülerinin güvenliklerini tehlikeye atacak durum/olay ile karþýlaþmalarý durumunda sebep olan kiþi yada kiþilerin kimliðinin tespit etme amacý ile araca yerleþtirilecek olan kamera sistemine entegre SIM kartý ile M2M çözümü sunmak üzeredir.
2013	2013/12186	SCHOOL COLLOBRATION ANYWHERE	HANDE DERELÝ				Bu teknoloji sayesinde öðretmen ve okul güvenlik kontrolünde, öðrenciler içeriklerine heryerden ulaþabilecektir. Öðrenci doðru yer, doðru zamanda, doðru þekilde, doðru içeriðe ulaþabilecektir. Öðretmen ve veliler öðrencileri ihtiyaç dahilinde gözlemleyip yönetebilecektir.
2013	2013/12584	TELEFON ACÝL DURUM ÇAÐRISI EKRANINA NUMARASI GÝZLENMÝÞ (MOBÝL/SABÝT) KÝÞÝ EKLEME 	TUBA ÇAKIR				Mobil cihazlarda ekran kilitli olduðunda Emergency Call ile acil durumlarda ekran kilidini açmadan belirli numaralar (112, 155.. ) aranabilmektedir ancak mobil ve sabit hatlar aranamamaktadýr. Günlük hayatta bir kiþinin baþýna bir þey geldiðinde (bayýlabilir, kaza geçirebilir vb.) çevresindeki kiþiler telefonuna bakarak yakýnlarýna ulaþmaya çalýþýlýr ancak telefon ekraný þifre ile kilitlenmiþse bunu baþaramaz. Bu çözüm ile telefonun acil durum çaðrýsý ekranýna acil durum numaralarýna ek olarak kullanýcýnýn belirleyebileceði kiþi ya da kiþiler numaralarý görünmeyecek þekilde (Eþim, Annem, Babam vb.) eklenebilecektir. Bu ekran açýldýðýnda acil durum numaralarý isimleri ile listelenecek, seçime göre de arama baþlayabilecektir. (SIM kart varsa mobil/sabit hatlar da aranabilecektir.) Ayrýca numaralar görünmeyeceði için çalýnma vb. durumlara karþý aile bireylerinin numaralarý baþkalarýnýn eline geçmeyecektir. Kaybolan bir telefon bulunduðunda da sahibine ulaþmak kolay olacaktýr.
2013	2013/13909	BÝNA ÝÇÝ KONUM TESPÝT TEKNOLOJÝLERÝ ÝLE YAPILAN ÖLÇÜMLERÝ KULLANARAK BÝNA ÝÇÝNDEKÝ BAÐIMSIZ BÖLÜMLERDE LOKASYON BULMAK ÝÇÝN BÝR YÖNTEM VE PLATFORM	ALÝ YÜKSEL-BARIÞ YAVUZ				Indoor dediðimiz gsm þebekesinde sadece kapalý alanlara hizmet veren baz istasyonlarýnýn olduðu sýnýrlý alanlarýn baðýmsýz bölümlerinde (alýþveriþ merkezi içindeki maðazalar gibi) kampanya düzenlenmesini ve yakalanan msisdnlere aksiyon verilebilmesini saðlayan bir platformdur. Sistem iki bileþenden oluþur. Birisi cep telefonuna kurulu olan ve indoor içindeki hangi baðýmsýz bölümde olduðunu saptayan bir client uygulamasý. Diðeri ise clienttaki uygulamayý aktive eden, uzaktan yöneten, kampanyanýn tanýmlandýðý ve kampanya þartlarýna uygun olan msisdnleri belirleyen ve kampanyayý tanýmlayan istemciye bildiren bir platform olacaktýr. Platform clientteki uygulama hangi teknolojiyi kullanýrsa kullansýn uyumlu çalýþacak þekilde tasarlanacaktýr. Bu teknolojilere AudioWatermark, ultrasound ,WI-FI, kullanýcýnýn lokasyon check-in yapmasý örnek verilebilir.
2013	2013/13941	BÝR AKILLI AYAR GÖNDERÝM SÝSTEMÝ	ALPER SÜRMEN-KAZIM UMUT AÞKIN				Akýllý Ayar Gönderim Sistemi, abonelerin ihtiyaç duyduðu OTAP (over the air provisioning) servis ayarlarýnýn yanýnda istenilen servise en uygun kampanya hakkinda bilgilendirme SMSi gonderen bir sistemdir.Bu sayede abone, istemis oldugu ayarlarin yaninda o servisi kullanabilecegi en uygun servis kampanyasi hakkinda bilgilendirilmis olacaktir. Bu sayede ayar isteyen abone yeni bir kampanya paketi almaya tesvik edilecektir.Mevcut sistemlerde ayar gonderiminin yaninda musteriyi uygun kampanyalar hakkinda bilgilendirebilecek ve kullanimlarini tesvik edecek entegre bir sistem yoktur. Bu cozumle birlikte ilk kez bir over the air provisioning platformuna business logic kurgusu dahil edilmistir
2013	2013/14029	KULLANICILARIN KENDÝ ARAYÜZLERÝNÝ TASARLAYABÝLDÝÐÝ ALTYAPI-AKILLI EKRANLAR	NURSEL AVCI				Kurulacak dinamik altyapý ile kullanýcýlar kendi önyüzlerini tasarlayabilecektir. Yönetim konsolu ile önyüzlerin tasarlanabileceði bir altyapý kurulacak ve istenildiði kadar önyüz tasarlanabilecektir. Yetkilendirme altyapýsý ile de kullanýcýlar sadece yetkili olduklarý önyüzleri görebileceklerdir. Bu altyapýda oluþturulan önyüzler istenilen uygulamaya entegra olabilecek ve bir bütün olarak çalýþabilecektir.
2013	2013/14594	PARAMETRÝK BULK AKSÝYON YAPISI	NEÞE BUZÇU KIR-ÖZAY AKDORA				Mevcut durumda Fraud sistemi üzerinde riskli aboneleri bulmak ve aksiyon almak için kurallar yazýlmakta ve bu kurallar alarm üreterek aksiyona dönüþmektedir. Riskli abone kümesinin büyük olduðu durumlarda üreyen alarmlar belirli bir sayýya ulaþtýðýnda kurallar otomatik kapanmakta ve aksiyona dönüþememektedir. Bu nedenle de yüksek sayýda riskli abone bulacak kurallar sistem üzerinde verimli çalýþamamaktadýr.Yukarýda belirtilen nedenlerden dolayý alarm üretmeden abone kümesi bulmak ve yüksek sayýda aboneye aksiyon alabilmek için bulk bir aksiyon yapýsý kurulmuþtur. Uygulama, fraud vaka incelemesi yapan analistlerin aksiyon alýnmak istenen abone kümesini bulmak üzere önceden belirlenmiþ kriterlerleri kullanarak kural yazmasý için tasarlanmýþ ekranlardan ve belirlenen kriterlere uyan abonelere aksiyon alýnmasýný saðlayan batch bir yapýdan oluþmaktadýr. Mevcut durumda uygulama üzerinden aþaðýdaki kanallardan bilgilendirme yapýlabilmektedir. SMS, E-mail ,Webforward, IVR, Call Center
2013	2013/14624	RAKÝP OPERATÖRLERÝN CHURN RÝSKLÝ ABONELERÝNÝN BELÝRLENMESÝ VE KAZANIMINA YÖNELÝK SÝSTEM VE YÖNTEM	EREN YILDIZ				GSM operatörleri kendi santrallerinde (MSC, SMSC, MMSC, GGSN, SGSN gibi) üreyen ilgili çaðrýya iliþkin zaman, anumber, bnumber, operator bilgisi, süre, kullaným miktarý, lokasyon gibi temel bilgileri içeren CDR (Call Detail Record) denilen çaðrý kayýtlarýný toplamaktadýrlar. Buluþun amacý, CDR?larýn cdr processing sistemi üzerinde decode edildikten sonra diðer operatör aboneleri ile gerçekleþtirlen ses görüþmelerinin ve sms gönderimlerinin rakip operator abonesi bazlý olarak ayrýþtýrýlýp, incelenerek, her rakip operatör abonesi için günlük bazda toplam iliþki parametrelerini içeren konsolide bir CDR üretilmesi, rakip operatordeki abonenin buluþu kullanan operatördeki aboneler ile iliþki skorlarýnýn belirlenmesine ve bu skorlarýn zaman serileri analizi ile ilgili rakip operatör abonesinin o operatör için churn riskinin belirlenip, buluþu kullanan operatör tarafýndan ilgili abonenin kazýnýmýna yöneliktir.
2013	2013/14876	TURKCELL CÜZDAN ÝLE UZAKTAN ALIÞVERÝÞ	MEÞRU KÖPRÜLÜ				Buluþumuz kapsamýnda internet alýþveriþlerinde oldukça kolaylaþtýrýlmýþ ve sadeleþtirilmiþ bir alýþveriþ deneyimi sunmanýn yanýnda, müþterilerin kredi kartý bilgilerini paylaþmadan, yeni þifreler ve kullanýcý kodlarý kullanmadan güvenle ve güvenli bir þekilde alýþveriþ yapmalarýna imkan saðlamaktayýz. Buluþ; internet üye iþ yerlerinin, müþteriden sadece cep telefonu numarasý almalarýný, bu cep telefonu numarasýna eþleþtirilmiþ kredi kartý, hesap kartý ve ön ödemeli kartlardan bir tanesinin seçilmesini, kartýn banka tarafýndan verilmiþ þifresinin SIM güvenlik katmaný ile bankaya iletilerek banka tarafýndan doðrulanmasýný ve ödemenin alýnmasýný, üye iþ yeri ile sadece iþlem sonucunun paylaþýlmasýný kapsamaktadýr.
2013	2013/14991	BÝR ÇAÐRI (CDR) ÜZERÝNDEN FARKLI ÜCRETLENDÝRME KURGULARINI MODELLEME YÖNTEMÝ	LERZAN ÖZKAN				GSM dünyasýnda cep telefonu kullanýmý sonucu oluþan, arama ilgili hertürlü arama detaylarýný içeren bilgilerin bulunduðu dosyalardaki kayýtlara CDR (Call Detail Record) denmektedir. Ses, data, kullaným detaylarý bulunmaktadýr. CDR lar üzerinden raporlama, ücretlendirme, fraud iþlemleri yapýlabilmektedir. Kaynak sistemde ham olarak oluþturulan cdrlar mediation a iletilmektedir Output Sistemlerin ihtiyacý olan cdrlar, kaynak sistemde tek kullaným icin tek bir cdr olarak üretilebilmektedir. Bu sebeple mediation sisteminde uygulanan özel çözümle tek bir cdra karþýn, özellikli birden fazla cdr çoðullanmaktadýr. Oluþturulan yeni yöntemle beraber output sistemlerin ihtiyacý olan cdrlar gönderilmesi saðlanmýtýr. Oluþturulan her bir cdr için özel mapping yapýlmasýna olanak saðlanmaktadýr. Önerilen sistem ve yöntemle beraber kaynak sistemde üretilmeyen, dýþ sistemlerin ihtiyacý olan cdrlarýn üretilmesi, yüksek performansla saðlanmýþtýr.
2013	2013/14993	BÝNA ÝÇÝ KONUM TESPÝT TEKNOLOJÝLERÝ KULLANARAK MÜÞTERÝLERÝN BÝNA ÝÇÝNDEKÝ HANGÝ BAÐIMSIZ BÖLÜMDE OLDUÐUNU TUTAN VE SORGULANMASINA ÝZÝN VEREN PLATFORM	ALÝ YÜKSEL-BARIÞ YAVUZ				Müþterilerin Indoor dediðimiz gsm þebekesinde sadece kapalý alanlara hizmet veren baz istasyonlarýnýn olduðu sýnýrlý alanlarýn hangi baðýmsýz bölümlerinde (alýþveriþ merkezi içindeki maðazalar gibi) olduðunun tutulduðu bir sistemdir. Diðer uygulamalara açtýðý interface?ler ile uygulamalarýn müþterilerin lokasyonlarýna ulaþarak servis vermelerini saðlar. Müþterilerin indoor lokasyonlarýný saptamak için ?Bina içi konum tespit teknolojileri ile yapýlan ölçümleri kullanarak bina içindeki baðýmsýz bölümlerde lokasyon bulmak için bir yöntem ve platform? patentinde bahsi geçen sistem kullanýlýr. Bu sistem kampanya tanýmlý alanlar için gelen msisdnleri iþlerken ayný zamanda gelen tüm msisdn ve alan bilgilerini de bizim sistemimize iletir. Sistem kaynak sistemin gönderdiði bilgileri db ve memory?de tutar. Gelen müþterinin son durumu tutulur. Müþterinin yeri sorgulandýðýnda bu bilgi kullanýlarak hangi baðýmsýz bölümde olduðu dönülür. Ýstenirse db de geçmiþe dönük datalar da korunabilir.
2013	2013/15066	SMSC'LERDE V2P-SMS MESAJLARINDA GERÇEK ZAMANLI ÝÇERÝK ÖZELLÝÐÝ	SONGÜL KALIN-ESRA ÖZLEM ÖZÜMÜZTOPRAK				Alýcýsýna gecikmeli olark giden SMS mesajlarýnýn, SMSC platformu üzerinde yapýlacak iþlemlerle gerçek zamanlý bilgi içermesini saðlayacak bir buluþtan bahsedilmektedir. Bilinen SMSC platformlarýnda benzer bir yetenek yoktur. TTech-MT-SMSC platformuna bu özellik eklenebilir, Turkcell VAS servislerinde SMSC nin bu özelliðinden faydalanýlabilinir, TTech-MT-SMSC platformunun yurtdýþý müþterilerine de yeni bir özellik olarak satýþý yapýlabilinir.
2013	2013/15067	LOKASYON BAZLI SON KULLANICI TETÝKLÝ YEREL HABER SERVÝSÝ 	KAZIM UMUT AÞKIN				GPS MPS gibi lokasyon tespit teknolojileri kullanilarak son kullanicilar tarafindan akilli telefonlar uzerinden yer tespiti ile birlikte haber verilen yangin, sel, trafik, kaza gibi olaylarin ayni servisi kullanan ve belirli sayinin uzerindeki haberi dogru kabul eden terminallere haber verilmesini saglayan servistir.
2013	2013/15069	RFID TABANLI KAPSAMA ALANI DIÞINDA KALAN TERMÝNALLER ÝÇÝN IVR MESAJ SERVÝSÝ 	KAZIM UMUT AÞKIN-ESRA ÖZLEM ÖZÜMÜZTOPRAK				RFID teknolojisi kullanilarak kapsama alani disinda (belirli yerlerde metro,yeralti pazari gibi) kalan terminallere ulasmaya calisanlar icin ulasilamama sebebini gercek zamanli bildiren ivr call forwarding sistemi
2013	2013/15087	MOBÝL ÝMZA SÝSTEMÝNDE ÇOKLU DOKÜMAN ÝMZALAMA YÖNTEMÝ 	RAHMÝ CEM ÇEVÝKBAÞ				Mobil imza sisteminde imzalanacak doküman kullanýcýnýn telefonuna SMS üzerinden gitmekte ve her dokümanýn imzasý için doküman baþýna Þifre sorulmaktadýr. Ancak kullanýcýlar özellikle birden çok doküman imzalamalarý gerektiðinde (Örneðin kamuda 100 vilayete gidecek ayný doküman) bu dokümanlarýn imzalanmasý çok zaman almakta ve bu tarz iþlem yapan kullanýcý kitleleri mobil imza yerine elektronik imzayý tercih etmekte. Önerilen yöntemle; servis saðlayýcý imzalanacak doküman özetlerini Mobil imza platformuna(MSSP) gönderir. Kullanýcýnýn önceden indirmiþ olduðu özel bir telefon uygulamasýna bu özetler GPRS üzerinden gönderilir. Ýlgili özetler SMS yerine GPRS üzerinden geldiði için çok hýzlý olarak kullanýcýya iletilecektir. Kullanýcýnýn imzalayacaðý özetleri görmesinden sonra, telefon uygulamasý SIM kart ile güvenli bir kanal açarak Mobil imza PIN doðrulamasýný bir kere yapar. Daha sonra bu kanaldan imzalanmasý istenen dokümanlar tek tek gönderilerek SIM karta imzalatýlýr.
2013	2013/15260	FILE FORMATTER (OTOMATÝK DOSYA FORMAT, DESEN VE DEÐER CONVERSION SÝSTEMÝ) 	AYÞEN ÇERÝK				Uygulama ile herhangi bir server'daki dosya, iþlenerek baþka bir server'a/client'a ya da email ile kullanýcýlara iletilebilmektedir. Uygulama dosya içerisindeki fixed ya da delimited olarak tutulan datayý, konfigurasyonel olarak verilen bir desene çevirebilir. Konfigurasyonlarla dosya deseni deðiþtirilebilir, alanlar formatlanabilir(örn:tarih formatý, numerik deðer formatý deðiþtirilebilir), farklý kolonlar arasýnda matematiksel iþlemler yapýlarak yeni kolonlar oluþturulabilir, belirlenen deðerler baþka deðerlerle replace edilebilir.Böylece dýþ sistemlerden alýnan dosya formatýndaki data'lar, sistemin ihtiyacý olan þekilde formatlanarak iþlenebilir. Uygulama benzer dosya üretim iþlemleri için oluþacak geliþtirme masraflarýndan tasarruf edilmesini,üretim ortamýnda sistem bakýmýnýn kolaylaþmasýný ve maliyetin düþürülmesini, dosya üretim ve transfer iþlemlerinin standartlaþtýrýlmasýný ve merkezileþtirilmesini saðlayacaktýr.
2013	2013/15264	GÜVENLÝK KAMERASI ÝLE HIRSIZLIK TESPÝT SÝSTEMÝ	KEMAL KAPLAN-CANER KURTUL				Turkcell Superonline yakýn zamanda TURKCELL KAMERA çözümünü hayata geçirecek. Kurumsal ve bireysel için güvenlik kamerasý çözümü olarak sunulacak servise rekabet avantajý saðlamak amacýyla bu buluþu öneriyoruz. Önerilen sistemle olay tabanlý veya 7/24 çekim yapan güvenlik kamera görüntüleri sürekli takip edilerek ortamda bir cismin eksildiði tespit edilebilecektir. Böylelikle ilgili zaman iþaretlenerek muhtemel hýrsýzlýk olayýnýn gerçekleþtiði an hýzlýca tespit edilebilecektir. Hýrsýzlýk fark edildiðinde operatör tüm görüntüleri incelemek yerine sadece ortamda deðiþiklik (ürün eksilmesi) olan anlarý inceleyebilecektir. Sistemin dýþarý açýlan bir API aracýlýðýyla SMS atmak, alarm vermek gibi aksiyonlar mümkün olmaktadýr.
